policy,run_tag,segment_idx,variant,yaal
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,151,cu,1243.1538
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,151,ca,2941.8121
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,152,cu,1842.4093
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,152,ca,3611.3202
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,153,cu,606.5238
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,153,ca,2182.9613
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,154,cu,757.0538
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,154,ca,2319.0741
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,155,cu,302.1667
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,155,ca,1019.7058
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,156,cu,574.3333
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,156,ca,1816.9338
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,157,cu,-32.5385
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,157,ca,1250.3192
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,158,cu,490.2059
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,158,ca,1933.3399
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,159,cu,785.4812
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,159,ca,1987.4078
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,160,cu,990.4571
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,160,ca,2574.6024
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,161,cu,1554.8000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,161,ca,2726.5309
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,162,cu,387.6923
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,162,ca,1879.4848
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,163,cu,-153.5652
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,163,ca,1343.5384
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,164,cu,180.7500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,164,ca,1259.7350
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,165,cu,295.8000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,165,ca,1531.1595
